mol_id,smiles,antibacterial,Polyketides,cluster
1326,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,1,1,2
1330,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,1,1,2
1398,CC1=CC2C(O)C(C)CCC2C2(C)C(=O)OC(C)CCCC=C(C(=O)O)C(O)C(C)C=CC=CC12,1,1,7
1406,COc1ccc(O)c2c1C(=O)c1cc3c(c(O)c1C2=O)C(OC1CC(C)(N(C)C)C(O)C(C)O1)C(OC)C(C)(O)C3O,1,1,9
1407,CC(=O)OCC12Oc3c(-c4ccc(O)c5c4OC4(COC(C)=O)C(=C(O)CC(C)C4OC(C)=O)C5=O)ccc(O)c3C(=O)C1=C(O)CC(C)C2OC(C)=O,1,1,1
1408,CC(=O)OCC12Oc3ccc(-c4ccc(O)c5c4OC4(COC(C)=O)C(=C(O)CC(C)C4OC(C)=O)C5=O)c(O)c3C(=O)C1=C(O)CC(C)C2OC(C)=O,1,1,1
1412,COc1c(O)cc2oc(C)cc(=O)c2c1O,1,1,6
1417,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(OC(=O)C(C)C)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O,1,1,0
1418,CC(C)=CC(=O)c1c(O)cc2c(c1C)OC(=O)c1c(C)cc(O)c(C=O)c1O2,1,1,6
1445,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,1,1,2
1465,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)(F)C(=O)C(C)C(O)C1(C)O,1,1,2
1508,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)C1(C(=O)C(C)C)C2=O,1,1,3
1510,COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,1,1,0
1513,O=c1c(O)cccc2cc(O)c(O)c(O)c12,1,1,6
1534,O=C1C=CC(=O)c2c(O)ccc(O)c21,1,1,6
1545,CCC(C)C1C(=O)OC2c3cc(C)cc(O)c3C3=C(C(=O)c4c(OC5CC(O)C(O)C(C)O5)cccc4C3=O)N21,1,1,1
1577,CC1=C(O)C(=O)c2c(O)c(O)c(C)c(O)c2C1=O,1,1,6
1578,Cc1cc(O)cc2c1C1OC(C)(Cc3cc4c(c(O)c31)C(=O)c1c(O)cc(O)cc1C4(C)C)O2,1,1,1
1579,CCC1CC(=O)c2c(cc(O)c3c2C(=O)c2cccc(OC4CC(N)C(O)C(C)O4)c2C3=O)C1,1,1,9
1580,CCC1CC(=O)c2c(cc(O)c3c2C(=O)c2cccc(O)c2C3=O)C1,1,1,6
1581,CCC1CC(=O)c2c(cc(O)c3c2C(=O)c2cccc(OC)c2C3=O)C1,1,1,6
1595,CCC1CC23OC(=O)C(=C2O)C(=O)C2(CC)C(C=CC4C(OC5CC(O)C(NC(=O)c6[nH]c(Cl)cc6Cl)C(C)O5)C(C)CCC42)CC=CCC(C)=CC3(C)C=C1C(=O)O,1,1,7
1600,CS(=O)c1cc(O)cc(CO)c1O,1,1,6
1602,CC(=O)C1=C(O)C(C)(CC=C(C)C)C(O)=C(Cc2c(O)c3c(c(C(C)=O)c2O)OC(C)(C)C=C3)C1=O,1,1,4
1603,CC(=O)C1=C(O)C(C)(CC=C(C)C)C(O)=C(Cc2c(OCC=C(C)C)cc(O)c(C(C)=O)c2O)C1=O,1,1,6
1604,CC(=O)C1=C(O)C(C)(CC=C(C)C)C(O)=C(Cc2c(O)c(CC=C(C)C)c(O)c(C(C)=O)c2O)C1=O,1,1,5
1605,CC(=O)C1=C(O)C(C)(CC=C(C)C)C(O)=C(Cc2c(O)c(C(C)=O)c(O)c3c2OC(C)(C)C=C3)C1=O,1,1,4
1607,CC(C)CC=CC=CC(=O)NC1=CC(O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)C2OC2C1=O,1,1,3
1608,CC(C)=CCC1CC2(CC=C(C)C)C(=O)C(C(=O)c3ccccc3)=C(O)C(CC=C(C)C)(C2=O)C1(C)C,1,1,4
1610,COC1CC=CC=CCC(C)C(O)C(C)C(O)C(C)C(O)CC(=O)OC(C(C)C(O)C=C(C)C=CC=CC=CC=CC=CCC(O)C=C(C)CCC(=O)O)CC(O)CCC1,1,1,0
1611,CCCC(=O)c1c(O)c(C)c(O)c(CC2=C(O)C(C)(C)C(O)=C(C(C)=O)C2=O)c1O,1,1,5
1612,CCCC(=O)c1c(O)c(C)c(O)c(CC2=C(O)C(C)(C)C(O)=C(C(=O)CC)C2=O)c1O,1,1,6
1616,COc1cc(C)c(O)c(CC=C(C)CC(=O)C=C(C)CCCC(C)C(=O)C(O)C=C(C)C)c1,1,1,5
